"business_id","phone_number","name","full_address","latitude","longitude","review_count","rating","timezone","website","place_id","place_link","types","price_level","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","city","verified","photos","state","description"
"0x39eb1908434cb3c5:0x1fdf1a6d41d2512d","+97715970012","Islington College","Islington College, Kamal Margha, Kathmandu 44600, Nepal","27.7076565","85.3252364","395","4.2","Asia/Katmandu","https://islington.edu.np/","ChIJxbNMQwgZ6zkRLVHSQW0a3x8","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb1908434cb3c5:0x1fdf1a6d41d2512d","College, University","","7 AM-6 PM","7 AM-6 PM","7 AM-6 PM","7 AM-6 PM","7 AM-6 PM","7 AM-6 PM","Closed","Kathmandu, Nepal","true","https://lh5.googleusercontent.com/p/AF1QipOfIqRwgGzkxD9DCuX6VFKHDCs7WfDHhSIjnO84=w203-h152-k-no","Open . Closes 6 PM",""
"0x39eb19a4a9334c71:0x9a3db0370ae5a83c","+97715705386","Liberty College","M8VH+RF7 Liberty College,  , Kathmandu 44600, Nepal","27.694422","85.3287469","54","4.5","Asia/Katmandu","http://www.libertycollege.edu.np/","ChIJcUwzqaQZ6zkRPKjlCjewPZo","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19a4a9334c71:0x9a3db0370ae5a83c","College","","6:30 AM-5 PM","6:30 AM-5 PM","6:30 AM-5 PM","6:30 AM-5 PM","6:30 AM-5 PM","6:30 AM-5 PM","Closed","Kathmandu, Nepal","true","https://lh5.googleusercontent.com/p/AF1QipOoKVfPmoSzA9-uk6D46t4qkc0EoDpurqO9jk4D=w203-h151-k-no","Open . Closes 5 PM",""
"0x39eb19358ca58eef:0x55df86d8885cbfce","+97714107198","Premier College New Baneshowr +2","M8PP+QQR Premier College New Baneshowr +2, Kathmandu 44600, Nepal","27.686984799999998","85.3368821","94","3.9","Asia/Katmandu","","ChIJ746ljDUZ6zkRzr9ciNiG31U","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19358ca58eef:0x55df86d8885cbfce","School","","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Kathmandu, Nepal","false","https://lh3.googleusercontent.com/gps-proxy/ALd4DhE3ibvKvUrygADeRnDPOHvYOM4F6FBPNeh6lOeTedm475gGJSfJ_JwofN9BiMKFAdsj4m7h6ViSvFOLVIfuu6hOWzVTo28mDlDzEJXdOFjTT6sDyJ8vAd-qu3nQ1MbLxQ9IQXqF1_pmVi0_pqa4A9sQLILI-4qCsZlr3E4XW51KlWh2qQlmnHSBOEvMPkJYI5Z6NsQ=w203-h114-k-no","Open 24 hours",""
"0x39eb196a81d856df:0x3d6ea0a2f299ec8a","+9779845903322","Youth Red Cross Circle, Nepal Commerce Campus","Youth Red Cross Circle, Nepal Commerce Campus, Minbhawan Marg, Kathmandu 44600, Nepal","27.6853682","85.3373568","332","4.2","Asia/Katmandu","","ChIJ31bYgWoZ6zkRiuyZ8qKgbj0","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb196a81d856df:0x3d6ea0a2f299ec8a","Government college","","6 AM-6 PM","6 AM-6 PM","6 AM-6 PM","6 AM-6 PM","6 AM-6 PM","6 AM-6 PM","Closed","Kathmandu, Nepal","true","https://lh5.googleusercontent.com/p/AF1QipMtAFwSEdE_qlklsml2p7FqXcTWRPMFiUBbviAe=w203-h150-k-no","Open . Closes 6 PM",""
"0x39eb19bbe970afe1:0x8e0ad765c1bf979c","+97715324520","King's College Nepal","King's College Nepal, , Kathmandu 44600, Nepal","27.689051199999998","85.3279961","144","4.4","Asia/Katmandu","https://www.kingscollege.edu.np/","ChIJ4a9w6bsZ6zkRnJe_wWXXCo4","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19bbe970afe1:0x8e0ad765c1bf979c","College, Business school, University","","6:30 AM-4 PM","6:30 AM-4 PM","6:30 AM-4 PM","6:30 AM-4 PM","6:30 AM-4 PM","6:30 AM-4 PM","Closed","Kathmandu, Nepal","true","https://lh5.googleusercontent.com/p/AF1QipN0Hu7p7J5JArWJZznBT0ib5OGKLzj9FZ7Robr9=w203-h258-k-no","Open . Closes 4 PM",""
"0x39eb19981515851b:0xfec90a9c10078a58","+97714460442","Ambition College","Ambition College, House No 70, Sahabhagita Marga, Kathmandu 44600, Nepal","27.6955639","85.3355239","150","3.4","Asia/Katmandu","","ChIJG4UVFZgZ6zkRWIoHEJwKyf4","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19981515851b:0xfec90a9c10078a58","College","","6:15 AM-4 PM","6:15 AM-4 PM","6:15 AM-4 PM","6:15 AM-4 PM","6:15 AM-4 PM","6:15 AM-4 PM","Closed","Kathmandu, Nepal","true","https://lh5.googleusercontent.com/p/AF1QipM32cpEPfoNdhramZwJFeq5Qic4RkGjCdgo5jLs=w203-h114-k-no","Open . Closes 4 PM",""
"0x39eb199940d81663:0xaf36b9b58903050f","+97714567922","Apex College","Apex College, Devkota Sadak, Kathmandu 44600, Nepal","27.698954999999998","85.337974","235","4","Asia/Katmandu","https://www.apexcollege.edu.np/","ChIJYxbYQJkZ6zkRDwUDibW5Nq8","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb199940d81663:0xaf36b9b58903050f","Private college, College, University","","6 AM-5 PM","6 AM-5 PM","6 AM-5 PM","6 AM-5 PM","6 AM-5 PM","6 AM-5 PM","Closed","Kathmandu, Nepal","true","https://lh5.googleusercontent.com/p/AF1QipMjtiixoUZl0H253DvH59DtHKAh8ZaYyeHhBn2o=w203-h114-k-no","Open . Closes 5 PM",""
"0x39eb19bb6d5813b3:0xd8399a99677e490b","+97715705488","Nepal Mega College","M8RH+M66 Nepal Mega College, Daphe Marga, Kathmandu 44600, Nepal","27.6916607","85.3280037","156","3.9","Asia/Katmandu","http://nepalmegacollege.edu.np/","ChIJsxNYbbsZ6zkRC0l-Z5maOdg","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19bb6d5813b3:0xd8399a99677e490b","Community college, Business school, University","","9 AM-6 PM","9 AM-6 PM","9 AM-6 PM","9 AM-6 PM","9 AM-6 PM","9 AM-6 PM","Closed","Kathmandu, Nepal","false","https://lh5.googleusercontent.com/p/AF1QipOZKiDKCky_IQZqlic883uDyFLpVxu3kpRejNE3=w203-h203-k-no","Open . Closes 6 PM",""
"0x39eb199585464f01:0xc9b1cb80eadae15b","+97714791747","Columbus HSS & College","M8PM+CXJ Columbus HSS & College,  , Kathmandu 44600, Nepal","27.686080999999998","85.334896","29","3.7","Asia/Katmandu","","ChIJAU9GhZUZ6zkRW-Ha6oDLsck","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb199585464f01:0xc9b1cb80eadae15b","Private college, College","","6:30 AM-4:45 PM","6:30 AM-4:45 PM","6:30 AM-4:45 PM","6:30 AM-4:45 PM","6:30 AM-4:45 PM","6:30 AM-4:45 PM","Closed","Kathmandu, Nepal","false","https://lh5.googleusercontent.com/p/AF1QipMXRPY8XGSYDZroonDOmLaqd3Sn4j5bXV0fdJTc=w203-h270-k-no","Open . Closes 4:45 PM",""
"0x39eb19b032e93fc1:0x4a61dc499d928027","+97714221365","St. Xavier's College","St. Xavier's College, Kathmandu 44600, Nepal","27.693311299999998","85.3211291","842","4.3","Asia/Katmandu","https://sxc.edu.np/","ChIJwT_pMrAZ6zkRJ4CSnUncYUo","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19b032e93fc1:0x4a61dc499d928027","College, High school","","9:30 AM-12:40 PM","9:30 AM-4:30 PM","9:30 AM-4:30 PM","9:30 AM-4:30 PM","9:30 AM-4:30 PM","9:30 AM-4:30 PM","Closed","Kathmandu, Nepal","true","https://lh5.googleusercontent.com/p/AF1QipOZmlIcLTbVDk9fsKQO8vs6yikuEDZvggqgqZEm=w203-h152-k-no","Open . Closes 4:30 PM",""
